SYMBOL	GSM1480291_LVirgin	GSM1480292_LVirgin	GSM1480293_LPregnant	GSM1480294_LPregnant	GSM1480295_LLactate	GSM1480296_LLactate	GSM1480297_BVirgin	GSM1480298_BVirgin	GSM1480299_BPregnant	GSM1480300_BPregnant	GSM1480301_BLactate	GSM1480302_BLactate
Zik1	35	28	12	9	17	24	43	23	19	18	16	12
Zic5	0	0	0	0	0	0	0	0	0	0	0	0
Zic4	0	0	0	0	0	0	0	0	0	0	0	0
Zic3	0	0	0	0	0	0	2	0	0	0	0	0
Zic2	0	0	0	0	0	0	0	1	0	0	0	0
Zic1	0	0	0	0	0	0	3	0	0	1	0	0
Zhx3	151	178	120	95	78	82	405	480	573	523	438	296
Zhx2	407	567	192	204	166	154	470	533	566	557	579	541
Zhx1	875	961	672	594	317	301	816	699	740	609	885	871
Zgrf1	215	188	125	69	149	163	187	192	160	128	67	73
Zgpat	1107	1194	626	577	314	414	979	920	718	662	595	737
Zglp1	11	20	15	15	5	1	37	23	23	31	35	20
Zg16	0	0	0	0	0	0	0	0	0	0	0	0
Zfyve9	280	272	145	133	71	63	454	416	395	349	392	315
Zfyve28	8	10	6	7	1	0	54	19	17	21	14	6
Zfyve27	1349	1662	1243	1415	833	865	1235	1131	935	911	1162	1184
Zfyve26	571	580	343	326	328	229	587	533	273	262	370	430
Zfyve21	141	206	154	130	153	164	184	106	166	173	196	181
Zfyve19	373	412	382	335	216	272	235	168	219	236	176	224
Zfyve16	454	432	298	316	208	218	510	482	408	383	489	510
Zfyve1	804	973	860	1079	364	320	907	927	684	659	1024	1109
Zfy2	0	0	0	0	0	0	0	0	0	0	0	0
Zfy1	0	0	0	0	0	0	0	0	0	0	0	0
Zfx	1375	1434	1068	903	472	476	1555	1323	1296	1068	1115	1121
Zfr2	192	301	57	67	38	35	94	119	141	154	181	215
Zfr	2124	2385	2032	1766	837	828	2833	2666	3232	3162	3352	3032
Zfpm2	2	5	0	0	0	1	31	29	10	8	4	2
Zfpm1	353	418	286	246	131	165	660	400	533	368	326	312
Zfpl1	432	450	554	501	235	260	348	242	247	247	264	257
Zfp995	87	65	42	30	9	11	47	50	31	50	50	70
Zfp994	109	128	60	52	51	47	58	62	33	29	50	73
Zfp993	73	36	4	8	6	1	33	26	19	22	22	34
Zfp992	273	215	18	13	12	6	165	143	89	135	96	99
Zfp991	132	105	20	18	10	6	78	59	45	45	57	58
Zfp987	6	11	0	0	1	0	0	1	0	0	0	0
Zfp986	13	4	0	0	0	0	1	4	5	1	0	3
Zfp985	7	13	0	2	0	0	3	4	0	0	0	2
Zfp984	381	276	113	137	37	30	199	187	147	148	140	160
Zfp983	102	95	39	30	48	53	106	76	69	64	106	86
Zfp982	174	125	3	1	2	2	101	77	74	76	92	61
Zfp981	5	2	0	0	0	0	10	2	6	3	5	2
Zfp980	39	14	0	0	0	0	2	3	1	0	0	0
Zfp979	431	319	7	0	7	6	51	59	19	7	29	24
Zfp977	6	9	7	6	2	0	7	2	5	2	0	8
Zfp976	168	144	68	61	78	73	88	64	41	56	74	80
Zfp975	58	52	16	17	15	20	41	21	12	16	23	32
Zfp974	147	127	41	31	40	48	77	52	42	65	59	52
Zfp973	1	0	1	0	0	1	2	0	3	1	5	1
Zfp971	103	75	52	50	60	61	97	102	72	116	143	142
Zfp970	140	132	70	50	51	80	144	112	91	110	160	168
Zfp97	72	76	29	10	13	25	20	16	16	22	30	20
Zfp968	3	0	2	0	0	0	4	2	0	3	2	2
Zfp967	10	12	12	5	2	5	9	4	8	5	11	14
Zfp966	10	6	4	2	5	6	6	13	12	15	11	10
Zfp965	0	0	0	0	0	0	0	0	0	0	0	0
Zfp964	13	15	3	0	4	2	24	25	21	10	15	14
Zfp963	73	80	25	20	45	38	39	34	20	23	25	36
Zfp961	153	130	91	65	126	133	110	66	92	76	72	64
Zfp960	129	136	38	15	26	23	38	51	13	13	42	21
Zfp959	204	200	140	114	86	91	286	210	110	83	131	120
Zfp958	150	134	69	49	40	39	51	39	32	14	24	26
Zfp957	7	4	5	4	1	0	7	8	5	8	8	2
Zfp956	275	268	104	86	105	111	172	151	148	128	100	98
Zfp955b	205	207	173	95	70	87	90	77	78	64	49	73
Zfp955a	163	181	93	68	44	42	72	54	54	38	36	66
Zfp954	592	559	576	507	261	225	626	619	512	462	561	574
Zfp953	64	76	25	12	21	18	26	18	17	14	25	28
Zfp952	97	107	44	30	55	59	58	40	37	30	27	41
Zfp951	36	36	7	6	6	6	40	30	30	24	26	45
Zfp950	153	171	97	85	115	140	120	82	91	92	129	133
Zfp949	1840	2419	960	1051	189	198	1666	2862	1789	1832	1490	1860
Zfp948	792	917	563	525	254	207	418	569	682	613	633	432
Zfp947	15	21	8	16	6	3	12	21	13	10	39	23
Zfp946	213	152	129	83	142	139	85	81	64	54	64	64
Zfp945	286	270	129	131	54	43	325	336	281	290	336	293
Zfp944	130	169	121	92	73	95	108	93	105	90	110	98
Zfp943	200	164	196	181	154	139	166	137	186	179	293	242
Zfp942	302	253	168	126	117	183	157	136	102	99	120	164
Zfp941	38	46	12	8	4	2	74	59	48	30	39	60
Zfp940	37	21	6	7	1	0	37	26	8	10	17	21
Zfp94	20	36	11	8	4	7	52	49	33	34	38	45
Zfp939	61	58	33	34	23	29	108	98	77	63	94	130
Zfp938	174	115	105	78	66	60	48	53	50	43	48	49
Zfp937	75	67	15	8	23	13	23	21	8	12	16	18
Zfp936	1	2	0	1	0	0	1	1	1	1	2	2
Zfp935	183	191	127	107	123	120	89	77	80	72	91	130
Zfp934	85	86	31	16	38	33	45	40	21	19	12	24
Zfp933	183	179	76	66	74	79	53	69	61	39	70	80
Zfp932	40	29	13	21	12	14	17	11	17	7	9	9
Zfp931	52	40	21	21	19	19	58	47	47	56	66	77
Zfp930	157	128	59	44	47	67	102	74	50	52	52	75
Zfp93	72	88	50	56	24	15	64	58	48	65	105	110
Zfp92	4	5	0	0	4	1	12	10	11	8	11	25
Zfp91	1894	1908	2350	2096	1106	1230	1697	1343	2206	1862	1657	1491
Zfp90	161	182	54	62	20	33	207	160	208	206	247	240
Zfp9	120	140	72	80	258	231	237	267	221	180	178	198
Zfp882	19	20	6	4	12	13	47	32	28	14	35	20
Zfp879	8	7	2	1	1	5	10	15	3	7	13	11
Zfp874b	60	59	50	36	25	18	39	30	34	28	50	41
Zfp874a	141	148	107	88	45	39	121	85	77	65	125	123
Zfp873	69	53	20	11	15	21	57	23	34	22	31	48
Zfp872	6	3	0	6	1	5	0	0	0	0	2	0
Zfp871	2199	2202	1688	1476	672	664	1312	1209	1431	1083	1230	957
Zfp870	46	77	13	15	17	13	35	17	33	22	53	40
Zfp87	153	145	80	58	33	29	55	44	49	32	35	43
Zfp869	587	662	207	177	367	335	949	684	503	330	344	373
Zfp868	1185	1157	772	670	403	423	963	847	740	675	587	714
Zfp867	138	141	99	68	35	18	124	93	169	119	120	138
Zfp866	277	336	155	110	106	111	185	164	137	100	104	113
